last,first,full
Akasaka,Munemitsu,"Akasaka, Munemitsu"
Bartley,Timothy J,"Bartley, Timothy J"
Becker,Fernando G,"Becker, Fernando G"
Brain,Richard,"Brain, Richard"
Brose,Ulrich,"Brose, Ulrich"
Burgazzi,Gemma,"Burgazzi, Gemma"
Carvajal‐Quintero,Juan,"Carvajal‐Quintero, Juan"
Casatti,Lilian,"Casatti, Lilian"
Castaldelli,Giuseppe,"Castaldelli, Giuseppe"
Comte,Lise,"Comte, Lise"
Dala‐Corte,Renato B,"Dala‐Corte, Renato B"
Davenport,Stephen R,"Davenport, Stephen R"
Dolph,Christine L,"Dolph, Christine L"
Erős,Tibor,"Erős, Tibor"
Esch,Ellen,"Esch, Ellen"
Feckler,Alexander,"Feckler, Alexander"
Filipe,Ana F,"Filipe, Ana F"
Finlay,Jacques C,"Finlay, Jacques C"
Fortin,Marie‐Josée,"Fortin, Marie‐Josée"
Franssen,Nathan R,"Franssen, Nathan R"
Galic,Nika,"Galic, Nika"
García‐Berthou,Emili,"García‐Berthou, Emili"
Gavioli,Anna,"Gavioli, Anna"
Giam,Xingli,"Giam, Xingli"
Gido,Keith B,"Gido, Keith B"
Guzzo,Matthew M,"Guzzo, Matthew M"
Harvey,Eric,"Harvey, Eric"
Irving,Katie,"Irving, Katie"
Ishiyama,Nobuo,"Ishiyama, Nobuo"
Jacquet,Claire,"Jacquet, Claire"
Jimenez‐Segura,Luz,"Jimenez‐Segura, Luz"
Juvigny-Khenafou,Noël PD,"Juvigny-Khenafou, Noël PD"
Kadoya,Taku,"Kadoya, Taku"
Kanno,Yoichiro,"Kanno, Yoichiro"
Kawajiri,Keita,"Kawajiri, Keita"
Kelly,Jocelyn,"Kelly, Jocelyn"
Kenney,Aleshia,"Kenney, Aleshia"
Kim,Seoghyun,"Kim, Seoghyun"
Koide,Dai,"Koide, Dai"
Larsen,Stefano,"Larsen, Stefano"
Leese,Florian,"Leese, Florian"
Leitão,Rafael P,"Leitão, Rafael P"
MacDougall,Andrew S,"MacDougall, Andrew S"
Manfrin,Alessandro,"Manfrin, Alessandro"
Matsuzaki,Shin‐ichiro S,"Matsuzaki, Shin‐ichiro S"
Mauldin,Louise,"Mauldin, Louise"
McLarney,Bill,"McLarney, Bill"
Meador,Jason,"Meador, Jason"
Milardi,Marco,"Milardi, Marco"
Miura,Kazuki,"Miura, Kazuki"
Miyazaki,Yusuke,"Miyazaki, Yusuke"
Moffatt,David B,"Moffatt, David B"
Nakadai,Ryosuke,"Nakadai, Ryosuke"
Nakamura,Futoshi,"Nakamura, Futoshi"
Nilsson,Karin A,"Nilsson, Karin A"
Nishizawa,Bungo,"Nishizawa, Bungo"
Occhi,Thiago VT,"Occhi, Thiago VT"
Olden,Julian D,"Olden, Julian D"
Piggott,Jeremy,"Piggott, Jeremy"
Pomeranz,Justin PF,"Pomeranz, Justin PF"
Pompeu,Paulo S,"Pompeu, Paulo S"
Pregler,Kasey C,"Pregler, Kasey C"
Propst,David L,"Propst, David L"
Pyron,Mark,"Pyron, Mark"
Roe,Kevin J,"Roe, Kevin J"
Ruhi,Albert,"Ruhi, Albert"
Salvador,Gilberto N,"Salvador, Gilberto N"
Schäfer,Ralf B,"Schäfer, Ralf B"
Senzaki,Masayuki,"Senzaki, Masayuki"
Sharma,Sapna,"Sharma, Sapna"
Shibasaki,Shota,"Shibasaki, Shota"
Shinohara,Naoto,"Shinohara, Naoto"
Stefferud,Jerome A,"Stefferud, Jerome A"
Steiner,Nikita,"Steiner, Nikita"
Stewart,Timothy,"Stewart, Timothy"
Sueyoshi,Masanao,"Sueyoshi, Masanao"
Sutela,Tapio,"Sutela, Tapio"
Suzuki,Yuka,"Suzuki, Yuka"
Säterberg,Torbjörn,"Säterberg, Torbjörn"
Taylor,Christopher,"Taylor, Christopher"
Tedesco,Pablo A,"Tedesco, Pablo A"
Urabe,Hirokazu,"Urabe, Hirokazu"
Utrup,Nick,"Utrup, Nick"
Vaugeois,Maxime,"Vaugeois, Maxime"
Vehanen,Teppo,"Vehanen, Teppo"
Vitule,Jean RS,"Vitule, Jean RS"
Wahl,Charles F,"Wahl, Charles F"
Weber,Michael,"Weber, Michael"
Zeni,Jaquelini O,"Zeni, Jaquelini O"
